status,data_path,timeframe,rsi_length,bb_length,bb_mult,n_windows,mean_IS_sharpe,mean_OOS_sharpe,degradation_ratio,robust,chained_OOS_sharpe,chained_OOS_benchmark_sharpe,chained_OOS_excess_sharpe,chained_OOS_CAGR,chained_OOS_maxdd,n_low_confidence,has_edge
success,data/raw/fourhours/USA500IDXUSD240_comma.csv,4H,14,200,1.5,19,0.412,0.342,0.829,True,0.413,-1.15,1.563,6.04,-34.34,19,True
success,data/raw/daily/USA500IDXUSD1440_comma.csv,1D,6,100,1.5,20,-0.028,-0.192,6.755,False,0.017,-1.094,1.111,-1.29,-47.17,20,True
success,data/raw/daily/USA500IDXUSD1440_comma.csv,1D,14,200,2.5,20,,0.08,,False,,-1.41,,0.0,0.0,20,False
success,data/raw/daily/USATECHIDXUSD1440_comma.csv,1D,6,50,1.5,20,-0.111,-0.036,0.327,False,0.02,-0.956,0.976,-2.05,-54.73,20,True
success,data/raw/daily/USATECHIDXUSD1440_comma.csv,1D,6,100,2.0,20,-0.313,-0.115,0.367,False,-0.126,-0.811,0.685,-5.23,-70.48,20,True
success,data/raw/daily/USA500IDXUSD1440_comma.csv,1D,6,50,1.5,20,0.072,-0.179,-2.477,False,-0.098,-0.732,0.634,-3.3,-57.93,20,True
success,data/raw/daily/USA30IDXUSD1440_comma.csv,1D,6,50,1.5,24,0.441,0.204,0.463,False,0.191,-0.429,0.62,1.85,-40.21,24,True
success,data/raw/daily/USATECHIDXUSD1440_comma.csv,1D,6,100,1.5,20,-0.387,-0.482,1.245,False,-0.367,-0.908,0.541,-10.18,-77.13,20,True
success,data/raw/daily/USA500IDXUSD1440_comma.csv,1D,14,100,1.5,20,0.253,0.334,1.321,True,0.344,-0.166,0.511,4.67,-34.51,20,True
success,data/raw/daily/USA500IDXUSD1440_comma.csv,1D,6,100,2.0,20,0.241,0.46,1.911,True,0.388,-0.115,0.503,5.48,-39.13,20,True
success,data/raw/daily/USA500IDXUSD1440_comma.csv,1D,14,200,1.5,20,-0.018,-0.3,16.47,False,-0.179,-0.674,0.496,-4.7,-48.27,20,True
success,data/raw/daily/USA500IDXUSD1440_comma.csv,1D,6,200,2.0,20,0.367,0.362,0.985,True,0.483,0.021,0.461,7.3,-37.3,20,True
success,data/raw/daily/USA30IDXUSD1440_comma.csv,1D,6,200,1.5,24,-0.311,-0.563,1.809,False,-0.181,-0.6,0.419,-4.5,-58.48,24,True
success,data/raw/daily/USATECHIDXUSD1440_comma.csv,1D,6,50,2.0,20,0.281,0.507,1.805,True,0.466,0.081,0.386,8.22,-51.23,20,True
success,data/raw/daily/USA30IDXUSD1440_comma.csv,1D,14,100,1.5,24,-0.14,-0.37,2.648,False,-0.096,-0.469,0.373,-3.09,-51.05,24,True
success,data/raw/daily/USA500IDXUSD1440_comma.csv,1D,6,200,1.5,20,-0.489,-0.857,1.753,False,-0.588,-0.948,0.359,-11.45,-74.66,20,True
success,data/raw/daily/USA30IDXUSD1440_comma.csv,1D,6,100,1.5,24,-0.184,-0.423,2.301,False,-0.201,-0.512,0.311,-4.83,-57.37,24,True
success,data/raw/daily/USA30IDXUSD1440_comma.csv,1D,6,100,2.0,24,0.334,0.557,1.669,True,0.392,0.107,0.286,5.45,-37.83,24,True
success,data/raw/daily/USA30IDXUSD1440_comma.csv,1D,14,200,2.0,24,0.657,0.659,1.004,True,0.582,0.314,0.268,8.93,-28.59,24,True
success,data/raw/daily/USA500IDXUSD1440_comma.csv,1D,6,50,2.0,20,0.19,0.163,0.857,True,0.156,-0.098,0.254,1.19,-53.51,20,True
success,data/raw/daily/USA30IDXUSD1440_comma.csv,1D,6,200,2.0,24,0.309,0.372,1.205,True,0.254,0.04,0.214,2.96,-57.8,24,True
success,data/raw/daily/USA30IDXUSD1440_comma.csv,1D,6,200,2.5,24,0.288,0.367,1.276,True,0.373,0.165,0.208,5.09,-37.83,24,True
success,data/raw/daily/USA500IDXUSD1440_comma.csv,1D,6,200,2.5,20,0.807,1.196,1.483,True,0.893,0.719,0.175,15.38,-33.23,20,False
success,data/raw/daily/USA30IDXUSD1440_comma.csv,1D,6,50,2.0,24,0.416,0.558,1.341,True,0.398,0.231,0.167,5.54,-37.83,24,False
success,data/raw/daily/USATECHIDXUSD1440_comma.csv,1D,6,20,1.5,20,0.033,0.081,2.486,True,-0.038,-0.162,0.124,-3.31,-61.61,20,False
success,data/raw/daily/USA500IDXUSD1440_comma.csv,1D,6,20,1.5,20,0.153,0.227,1.482,True,0.161,0.055,0.107,1.3,-43.61,20,False
success,data/raw/daily/USA30IDXUSD1440_comma.csv,1D,6,50,2.5,24,0.415,0.677,1.632,True,0.378,0.308,0.07,4.61,-32.02,24,False
success,data/raw/daily/USA30IDXUSD1440_comma.csv,1D,14,200,1.5,24,-0.465,-0.742,1.597,False,-0.548,-0.616,0.068,-10.36,-70.09,24,False
success,data/raw/daily/USA500IDXUSD1440_comma.csv,1D,14,200,2.0,20,0.45,0.76,1.688,True,0.596,0.579,0.016,9.32,-32.81,20,False
success,data/raw/daily/USA30IDXUSD1440_comma.csv,1D,6,20,1.5,24,0.29,0.415,1.43,True,0.276,0.269,0.007,3.34,-37.83,24,False
success,data/raw/daily/USA30IDXUSD1440_comma.csv,1D,14,50,2.0,24,0.868,1.093,1.26,True,0.642,0.636,0.006,9.94,-37.83,24,False
