asset,timeframe,fast,slow,mode,filter,buffer,CAGR,sharpe,sortino,calmar,max_drawdown,num_trades,win_rate,profit_factor,expectancy,sharpe_rank,calmar_rank,cagr_rank,pf_rank,research_score,low_sample
USDCHF1440_comma,daily,20,50,long_short,none,0.0,-0.009824100923974677,-0.4505517860117255,-0.5314347258731996,-0.017728877584449722,-0.554129886518679,122,0.3770491803278688,0.8875699476303408,-112.48044032561693,1.0,1.0,0.9939189189189189,1.0,0.9987837837837839,False
USDCHF1440_comma,daily,50,75,long_short,none,0.0,-0.010644626742900787,-0.4602878692236674,-0.5054759602542006,-0.02510949898955986,-0.4239282809795073,83,0.40963855421686746,0.8584562251367366,-137.96898059971323,0.9996621621621622,0.9993243243243243,0.9922297297297298,0.9996621621621622,0.9980912162162162,False
USDCHF1440_comma,daily,30,100,long_short,none,0.001,-0.012829156349706272,-0.492110190027145,-0.5366352901769844,-0.029093365039001874,-0.44096502183600317,60,0.4,0.7319424446179134,-276.0868168070514,0.9989864864864865,0.9979729729729729,0.9824324324324324,0.9976351351351351,0.9952195945945946,False
USDCHF1440_comma,daily,20,50,long_only,none,0.001,-0.007935265968644356,-0.616868859671471,-0.708642821427815,-0.0239887325710072,-0.330791380709914,60,0.26666666666666666,0.8006672850537201,-199.85579334263545,0.9881756756756757,0.9996621621621622,0.9979729729729729,0.9989864864864865,0.9946283783783785,False
USDCHF1440_comma,daily,20,50,long_only,none,0.0,-0.008516930538965628,-0.6111168761977837,-0.6978629038118239,-0.025432597140853417,-0.3348824538758779,61,0.3114754098360656,0.7965408528541399,-210.08261436770016,0.9888513513513514,0.9989864864864865,0.9976351351351351,0.9986486486486487,0.9946114864864866,False
USDCHF1440_comma,daily,40,100,long_short,none,0.0,-0.01341260102014541,-0.4910444406563004,-0.5376516188943491,-0.02889742221409666,-0.4641452417718599,51,0.4117647058823529,0.7017405366637121,-349.34070487475356,0.9993243243243243,0.9983108108108109,0.9783783783783784,0.9966216216216216,0.9944763513513514,False
USDCHF1440_comma,daily,50,75,long_short,none,0.001,-0.015609341055086268,-0.537504987902913,-0.5892886848095261,-0.03300165384219452,-0.47298663060118595,90,0.4222222222222222,0.7735760886265112,-201.04936960915649,0.9979729729729729,0.9969594594594594,0.9591216216216216,0.9983108108108109,0.99,False
USDCHF1440_comma,daily,20,50,long_short,none,0.001,-0.016215499007568135,-0.5308139690769386,-0.6248985253164623,-0.02887605515565671,-0.5615552027504553,122,0.319672131147541,0.820546786993814,-170.40626943913804,0.9983108108108109,0.9986486486486487,0.9537162162162162,0.9993243243243243,0.9896283783783784,False
USDCHF1440_comma,daily,50,75,long_only,none,0.0,-0.009140100479892999,-0.655497774540411,-0.7100503836117981,-0.03612612615235137,-0.25300527494554215,41,0.36585365853658536,0.6746171252884323,-341.84124115689815,0.9793918918918919,0.9949324324324325,0.9969594594594594,0.9939189189189189,0.9889695945945947,False
USDCHF1440_comma,daily,40,75,long_short,none,0.0,-0.017145080407346525,-0.5274060635137519,-0.5793773095841475,-0.039060200671203076,-0.43893989566691205,83,0.4457831325301205,0.7421714351497373,-259.8468865592044,0.9986486486486487,0.9908783783783783,0.9439189189189189,0.9979729729729729,0.9856587837837838,False
USDCHF1440_comma,daily,40,75,long_short,none,0.001,-0.017581330628193004,-0.5537405996975864,-0.6042964499513871,-0.04002089141221268,-0.43930382377309884,80,0.4375,0.7207357233079482,-282.79421538586206,0.9969594594594594,0.9898648648648649,0.9371621621621622,0.9969594594594594,0.9832263513513514,False
USDCHF1440_comma,daily,30,100,long_short,none,0.0,-0.018722713909718913,-0.5463706582337172,-0.5966247477328721,-0.037114617139025384,-0.5044566090924942,59,0.3559322033898305,0.6187312332163782,-414.86551504308,0.9972972972972973,0.9935810810810811,0.9192567567567568,0.9841216216216216,0.9787837837837838,False
USDCHF1440_comma,daily,30,100,long_only,none,0.001,-0.009092395318895719,-0.6684276402355551,-0.7228313081007648,-0.031913325493877105,-0.2849090521963995,32,0.34375,0.5420135895524543,-483.5681100661106,0.9739864864864864,0.9976351351351351,0.9972972972972973,0.9043918918918918,0.9741216216216215,False
