asset,timeframe,fast,slow,mode,filter,buffer,CAGR_screen,sharpe_screen,calmar_screen,max_drawdown_screen,total_return_screen,approx_trades,rank_sharpe,rank_calmar,rank_cagr,rank_drawdown,screen_score,CAGR,volatility,sharpe,sortino,calmar,max_drawdown,num_trades,win_rate,profit_factor,expectancy,screen_rank
USDCHF240_comma,fourhours,100,250,long_short,none,0.0,-0.015423430446272035,-0.1148406013938323,-0.02701415610595377,-0.5709388213268226,-0.22060305872003116,122,0.9979729729729729,0.9979729729729729,0.9780405405405406,0.4614864864864865,0.9135135135135136,-0.016394614359388826,0.09528238143938512,-0.5368897014208736,-0.6164145583714864,-0.028451315869940257,-0.5762339581878626,120,0.375,0.808768093028319,-177.96672845257282,2821
USDCHF240_comma,fourhours,75,500,long_short,none,0.0,-0.018033997704793192,-0.14468260850339193,-0.03334485310209325,-0.5408330230029141,-0.25308678489920056,79,0.9952702702702703,0.9969594594594594,0.9699324324324324,0.43277027027027026,0.90625,-0.01813581444293444,0.09446093064540813,-0.5609877714690641,-0.6097289612355151,-0.03344500976802493,-0.5422577110524024,77,0.37662337662337664,0.6480927949587341,-336.4827659358323,2701
USDCHF240_comma,fourhours,100,250,long_short,none,0.001,-0.017372286997420217,-0.14131621655686016,-0.03071842565321737,-0.5655331166231394,-0.24497530632114928,254,0.995945945945946,0.9976351351351351,0.9722972972972973,0.4564189189189189,0.9107094594594596,-0.01806701842277869,0.09300733556350031,-0.5706229094175885,-0.6558309881954061,-0.031777040172098765,-0.5685557347358644,126,0.36507936507936506,0.7958737558849616,-190.19047849708838,2822
USDCHF240_comma,fourhours,60,500,long_short,none,0.001,-0.019759094037414715,-0.16695357218929507,-0.03786094417893326,-0.5218859293110062,-0.2738511088100336,186,0.9932432432432432,0.995945945945946,0.9584459459459459,0.4097972972972973,0.8994425675675676,-0.020164917724830422,0.0931338275972822,-0.5925324390763078,-0.6464651969364547,-0.038475900815588264,-0.5240921537218626,92,0.34782608695652173,0.6733613208158947,-304.9483298152054,2422
USDCHF240_comma,fourhours,75,500,long_short,none,0.001,-0.021926396469886922,-0.1901898274221632,-0.03905866568937792,-0.5613708528668414,-0.29917122453531975,164,0.9925675675675676,0.9952702702702703,0.9381756756756757,0.4540540540540541,0.9015878378378379,-0.022603892610788656,0.0933156212569036,-0.6179023745228448,-0.6726635227265437,-0.040004545014108266,-0.56503311318294,81,0.35802469135802467,0.5977792714996034,-392.72554276524136,2702
USDCHF240_comma,fourhours,60,500,long_short,none,0.0,-0.02410956326193381,-0.21035344316948337,-0.04452106509764815,-0.5415315920464672,-0.323837975506982,99,0.9905405405405405,0.9898648648648649,0.9131756756756757,0.43344594594594593,0.8913344594594594,-0.024364691565433194,0.09447250731622331,-0.6282731500870448,-0.6852085024129724,-0.044924796813452114,-0.5423439457412865,97,0.29896907216494845,0.6389931115691729,-335.81936660853034,2421
USDCHF240_comma,fourhours,100,500,long_short,none,0.0,-0.025591347875030368,-0.22644095946362863,-0.04418262861788999,-0.5792174136209762,-0.34011374219339796,65,0.9875,0.9902027027027027,0.8908783783783784,0.46824324324324323,0.8909628378378379,-0.02546535615547707,0.09446765959299978,-0.6402583731703132,-0.6952375777508204,-0.0441185377712827,-0.5772030860925945,63,0.31746031746031744,0.5410503106152508,-533.4822360693563,2941
USDCHF240_comma,fourhours,60,500,long_short,none,0.0025,-0.027137131684854432,-0.2541752508257826,-0.04737474524490676,-0.5728185248188102,-0.3567005204611644,174,0.9790540540540541,0.9820945945945946,0.8597972972972973,0.4631756756756757,0.8785810810810811,-0.027689045814648927,0.09149132620335107,-0.6890800027685108,-0.7526400115225361,-0.04821905474506711,-0.5742345212082691,86,0.313953488372093,0.572750468986653,-396.3432488428552,2423
USDCHF240_comma,fourhours,100,250,long_short,none,0.0025,-0.025767778312265177,-0.24644146593545405,-0.0427373144802403,-0.6029339612384623,-0.34202697262581006,240,0.9817567567567568,0.9939189189189189,0.8888513513513514,0.4888513513513513,0.8922804054054054,-0.02636448378721068,0.08946091940852176,-0.6917127552435476,-0.7968906716945381,-0.04359620512276653,-0.6047426309920445,119,0.3277310924369748,0.6796104509646492,-293.9332679439013,2823
USDCHF240_comma,fourhours,100,300,long_short,none,0.005,-0.025072228031371546,-0.25845984198933813,-0.04774944335210361,-0.5250789594862781,-0.3344540532543935,191,0.977027027027027,0.981418918918919,0.9010135135135136,0.4141891891891892,0.8784966216216217,-0.025520048074641144,0.08424008072764204,-0.729513519786224,-0.8161289273256191,-0.04838353184609577,-0.5274531870847796,95,0.35789473684210527,0.5958609161919602,-340.09889607177587,2864
