combo,avg_weight,n_trades,strategy_sharpe,passive_sharpe,mean_excess_per_bar
01_goldencross × BRENTCMDUSD1440_comma,0.4241950609565489,16,0.20492491043632283,0.10564501081201186,0.00010919685941330429
01_goldencross × DEUIDXEUR1440_comma,0.6395748671459831,13,0.32972970873086227,0.538161693694173,-7.484816850616124e-05
01_goldencross × EURUSD1440_comma,0.40731478587058456,19,-0.09586857422010094,-0.049555434040330665,-1.0388264108021166e-05
01_goldencross × GBPUSD1440_comma,0.4710847139731166,19,-0.13657528240828032,-0.04140859406938057,-2.1854273028258714e-05
01_goldencross × GBRIDXGBP1440_comma,0.6289465457955611,19,0.11197088736832643,0.29472394999782386,-6.601642945440151e-05
01_goldencross × USA30IDXUSD1440_comma,0.7580493904345108,15,0.24971394792439516,0.644590235261129,-0.00018566163752074114
01_goldencross × USA500IDXUSD1440_comma,0.7552360112535167,13,0.517358995372708,0.7582137152925472,-9.891706758102295e-05
01_goldencross × USATECHIDXUSD1440_comma,0.7743044701469209,15,0.8002256904226186,0.9143726035632952,-1.748316590583019e-05
01_goldencross × USDCAD1440_comma,0.6067521100343858,20,0.11149651200780235,0.34338689424523255,-3.275920961882765e-05
01_goldencross × USDCHF1440_comma,0.46326977180368867,20,-0.22410860043779549,-0.1481956180060877,-4.0220217760885093e-05
01_goldencross × USDJPY1440_comma,0.5461081587996249,21,0.11390699369833217,0.3995418567600885,-4.912928788741669e-05
01_goldencross × XAGUSD1440_comma,0.4620193810565802,21,0.45256194693731666,0.5011824257106846,0.000161053034910821
01_goldencross × xauusd_1D_comma,0.6145670522038137,19,0.6648985678034914,0.7024950664199165,6.998343726693841e-05
02_emacross × BRENTCMDUSD1440_comma,0.011253516723976243,1297,0.36653889815608054,0.1056450108120119,0.0005346258490378944
02_emacross × DEUIDXEUR1440_comma,0.30572053766802126,808,-0.17165416120238855,0.5381616936941729,-0.0002550145653229429
02_emacross × EURUSD1440_comma,-0.05689277899343545,591,-0.13649393112033784,0.049555434040330665,-4.28914318714061e-05
02_emacross × GBPUSD1440_comma,0.02000625195373554,661,-0.16746421711046608,-0.04140859406938062,-5.883292465484856e-05
02_emacross × GBRIDXGBP1440_comma,0.18818380743982493,833,-0.6654469935873625,0.29472394999782386,-0.00044683830749967494
02_emacross × USA30IDXUSD1440_comma,0.3732416380118787,670,-0.13444695092815354,0.6445902352611291,-0.00024182329112469204
02_emacross × USA500IDXUSD1440_comma,0.4370115661144108,661,-0.11953943033390842,0.7582137152925473,-0.0002997173361148913
02_emacross × USATECHIDXUSD1440_comma,0.45764301344170055,702,0.11754655189759113,0.9143726035632954,-0.00024865711965335596
02_emacross × USDCAD1440_comma,0.13504220068771491,452,0.11042516462009853,0.3433868942452326,1.78086836050304e-05
